epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14524,1.09562,3.19634,0.995,0.00333,1,0.89214,0.48003,0.83446,3.24397,0.8937,0.0003,0.0003,0.0003
2,4.98717,1.04948,1.87397,1.00088,0.00333,1,0.42039,0.14447,0.91999,3.36441,0.94882,0.000607724,0.000607724,0.000607724
3,6.79597,0.98773,1.54495,0.96636,0.00333,1,0.14246,0.08525,0.89815,3.16313,0.91564,0.000902776,0.000902776,0.000902776
4,8.63,0.99881,1.42745,0.99133,0.1115,0.76471,0.60835,0.44431,0.84487,2.99529,0.93181,0.00118516,0.00118516,0.00118516
5,10.4851,1.07549,1.45421,0.99855,0.00284,0.85294,0.19254,0.13194,1.17708,3.53783,1.09588,0.00145486,0.00145486,0.00145486
6,12.2899,1.08523,1.44134,1.02144,1,0.8907,0.98283,0.69369,0.90201,2.26355,0.93562,0.0017119,0.0017119,0.0017119
7,14.0239,1.01163,1.3086,0.9874,1,0.88693,0.98217,0.73588,0.94561,2.1949,0.95376,0.0017624,0.0017624,0.0017624
8,15.781,0.9737,1.19323,0.95627,0.98921,0.91176,0.98949,0.7255,0.89621,1.53634,0.93353,0.0017228,0.0017228,0.0017228
9,17.4764,0.94566,1.18448,0.97229,0.99487,0.94118,0.96067,0.73793,0.8705,1.32701,0.916,0.0016832,0.0016832,0.0016832
10,19.2401,0.90709,1.15522,0.96256,1,0.89975,0.94019,0.73582,0.9156,1.38606,0.90574,0.0016436,0.0016436,0.0016436
11,21.1271,0.87062,1.11484,0.93475,0.99638,0.97059,0.99289,0.76782,0.84419,1.07172,0.87222,0.001604,0.001604,0.001604
12,22.8199,0.91461,1.06615,0.94631,1,0.96785,0.99338,0.7476,0.89757,0.97983,0.89966,0.0015644,0.0015644,0.0015644
13,24.5245,0.90227,1.03321,0.92739,0.99403,0.94118,0.98994,0.75752,0.85368,0.97068,0.88507,0.0015248,0.0015248,0.0015248
14,26.2524,0.89586,0.99206,0.94621,0.97133,0.99652,0.99357,0.76054,0.84563,0.90032,0.9014,0.0014852,0.0014852,0.0014852
15,28.0133,0.9143,0.93515,0.9467,0.97131,0.99597,0.99357,0.76238,0.83153,0.8065,0.87922,0.0014456,0.0014456,0.0014456
16,29.8006,0.89559,0.91475,0.9392,1,0.96752,0.99244,0.71981,0.74914,0.82505,0.86629,0.001406,0.001406,0.001406
17,31.6192,0.82402,0.89519,0.91334,0.99597,0.94118,0.98453,0.75502,0.80181,0.74161,0.88265,0.0013664,0.0013664,0.0013664
18,33.3471,0.85914,0.88306,0.92727,0.99788,0.94118,0.98136,0.74729,0.8323,0.73087,0.87222,0.0013268,0.0013268,0.0013268
19,35.2122,0.83579,0.88972,0.92437,1,0.9682,0.99159,0.75863,0.77403,0.67141,0.86662,0.0012872,0.0012872,0.0012872
20,36.9424,0.81332,0.83118,0.914,0.99354,0.94118,0.99166,0.80398,0.70529,0.66765,0.86466,0.0012476,0.0012476,0.0012476
21,38.7143,0.84347,0.81729,0.94378,0.99703,0.94118,0.99095,0.79417,0.74856,0.65567,0.87366,0.001208,0.001208,0.001208
22,40.4378,0.78208,0.78061,0.89879,0.97113,0.98956,0.99357,0.75262,0.8356,0.66635,0.88431,0.0011684,0.0011684,0.0011684
23,42.1075,0.8536,0.8045,0.92874,0.98566,0.94118,0.98987,0.76427,0.78535,0.71917,0.88015,0.0011288,0.0011288,0.0011288
24,43.984,0.79106,0.75064,0.90496,0.97113,0.98968,0.99357,0.76921,0.79476,0.60251,0.87615,0.0010892,0.0010892,0.0010892
25,45.6715,0.78495,0.7194,0.90674,0.97126,0.99417,0.99357,0.77024,0.77749,0.60713,0.86296,0.0010496,0.0010496,0.0010496
26,47.3442,0.79208,0.71475,0.90539,0.97031,1,0.99357,0.79843,0.73752,0.53875,0.85909,0.00101,0.00101,0.00101
27,49.0184,0.74748,0.69779,0.8926,0.97047,1,0.98071,0.76315,0.68907,0.5406,0.86343,0.0009704,0.0009704,0.0009704
28,50.6972,0.74592,0.73779,0.90308,0.96947,1,0.98671,0.78815,0.7158,0.54406,0.85166,0.0009308,0.0009308,0.0009308
29,52.3775,0.73923,0.69311,0.89443,0.96835,1,0.99271,0.78757,0.67729,0.525,0.84792,0.0008912,0.0008912,0.0008912
30,54.1586,0.72858,0.65463,0.87912,0.96974,1,0.99443,0.77944,0.65742,0.53485,0.86201,0.0008516,0.0008516,0.0008516
31,55.8193,0.73538,0.67086,0.90067,0.97032,1,0.99443,0.79969,0.67538,0.53013,0.85799,0.000812,0.000812,0.000812
32,57.4694,0.68731,0.61119,0.87008,0.96986,1,0.99443,0.78361,0.6477,0.53724,0.85016,0.0007724,0.0007724,0.0007724
33,59.1939,0.72143,0.6434,0.88273,0.97139,0.99864,0.99443,0.77417,0.6748,0.53706,0.84364,0.0007328,0.0007328,0.0007328
34,60.8449,0.69793,0.6099,0.88726,0.97142,0.9997,0.99443,0.79754,0.64967,0.49186,0.84139,0.0006932,0.0006932,0.0006932
35,62.5314,0.64139,0.59264,0.87521,1,0.99777,0.995,0.79188,0.659,0.4746,0.84206,0.0006536,0.0006536,0.0006536
36,64.1961,0.65629,0.58753,0.86704,0.99973,1,0.995,0.80005,0.65287,0.45535,0.84008,0.000614,0.000614,0.000614
37,65.9842,0.68669,0.60736,0.87107,0.99842,1,0.995,0.79424,0.71278,0.49036,0.84737,0.0005744,0.0005744,0.0005744
38,67.6404,0.68,0.61301,0.88224,0.99818,1,0.995,0.76968,0.68593,0.49318,0.857,0.0005348,0.0005348,0.0005348
39,69.2751,0.71278,0.61463,0.89946,0.99662,1,0.995,0.77351,0.69907,0.46891,0.85945,0.0004952,0.0004952,0.0004952
40,70.9862,0.6852,0.58521,0.8882,0.99693,1,0.995,0.77025,0.80417,0.46957,0.86883,0.0004556,0.0004556,0.0004556
41,77.8947,0.67212,0.69136,0.85017,0.99394,1,0.995,0.77126,0.70958,0.42743,0.86188,0.000416,0.000416,0.000416
42,79.5832,0.57063,0.62665,0.84445,0.99793,1,0.995,0.78048,0.63332,0.44953,0.86488,0.0003764,0.0003764,0.0003764
43,81.2174,0.59413,0.6448,0.8485,0.99737,1,0.995,0.77794,0.62988,0.46313,0.85569,0.0003368,0.0003368,0.0003368
44,82.9395,0.57157,0.619,0.83434,0.99771,1,0.995,0.78771,0.64321,0.42881,0.84761,0.0002972,0.0002972,0.0002972
45,84.6176,0.57273,0.60872,0.85015,0.99778,1,0.995,0.79544,0.6444,0.4302,0.84722,0.0002576,0.0002576,0.0002576
46,86.2746,0.56475,0.59341,0.83572,0.99833,1,0.995,0.802,0.64907,0.4275,0.84796,0.000218,0.000218,0.000218
47,87.9626,0.57698,0.59431,0.83478,0.99951,1,0.995,0.80284,0.64578,0.41744,0.84588,0.0001784,0.0001784,0.0001784
48,89.687,0.54347,0.56373,0.83795,1,0.99789,0.995,0.80682,0.64612,0.42512,0.84084,0.0001388,0.0001388,0.0001388
49,91.4295,0.53553,0.58688,0.81899,1,0.9978,0.995,0.80983,0.64984,0.417,0.84289,9.92e-05,9.92e-05,9.92e-05
50,93.1479,0.54473,0.56671,0.82386,1,0.99847,0.995,0.8094,0.63804,0.41264,0.84166,5.96e-05,5.96e-05,5.96e-05
